Correct as at: 27.03.23,,,,
,Precise,,,
Right to buy,"For RTB applications, the standard Residential criteria apply subject to the additional requirements:
Scheme Type - Schemes operated by recognised Local Authorities / Housing Associations only
Parties to Mortgage - Mortgage application must be in the same names as the RTB offer, unless the applicants are married in which case application must proceed in joint names
Loan Purpose - Purchase
Maximum LTV - Purchase; Maximum lending equal to 100% of the discounted purchase price (plus lender fees) subject to not exceeding 75% LTV – no capital raising allowed over and above the purchase price
Jurisdiction - England only
Repayment Type - Capital Repayment only
Property Restrictions - Houses only
Additional Validation - Purchase; Require sight of the RTB offer from the Local Authority / Housing Association pre-offer; this is to accurately determine the discount being given and therefore prevent capital raising  
- Purchase; Proof of rent payments in accordance with section 5.5 for all cases – must be up to date

",,,
Schedule of works form,,,,
Section 106 Planning Obligations ,"Section 106 planning obligations are accepted as detailed below:

Financial obligations – are acceptable subject to the conveyancer confirming that the monies due under the agreement have been paid in full or an indemnity exists within the agreement to indemnify any successors in title for any liability to repay any monies due.

In kind obligations (e.g. provision of open space, recreation facilities, education facilities, transportation plans, etc.) – are acceptable.

Restrictions on who can purchase the property – where the property is subject to a restriction that only allows it to be purchased or occupied by someone living or working in a specified area this should be referred to us for individual consideration. Restrictions relating to purchasers being in housing need, not being able to afford to purchase on the open market or having income less than a certain amount are not acceptable.

Affordable housing – it is acceptable for a development to be subject to a requirement to provide a proportion of affordable housing.

For any other planning obligation, please contact us.",,,
Self-employed ,"Where an applicant has a shareholding of 25% or over, or is responsible for the overall payment of their tax and national insurance, they will be classed as self-employed.

Applicants will need to have been trading for a minimum of 12 months and we will require income verification for the number of years’ income keyed onto our online application.

The following income will be accepted:

For sole traders – net profit.
For partnerships – the relevant share of the net profit.
For limited company directors – remuneration plus dividends.
Income verification will be required in all instances.",,,
Separate legal representation,,,,
Specialist Reports ,"On some occasions we may require a specialist’s report for the property, these most commonly comprise of:

Timber and damp, electrical, trees, cavity wall tie;
Mining report (for long term lending these are obtained by the solicitors and a special condition is imposed at offer).
Any such reports should be prepared by a reputable firm and should be forwarded to us for review and referral to the valuer.",,,
Social Housing ,Precise Mortgages are unable to consider any property being purchased under Shared Ownership or Key Worker Schemes.,,,
Standard bridging,,,,
Solar Panels ,"We will consider a property that contains solar panels. If the roof space is leased to a solar panel company then we will require a Consent to Airspace. The conveyancing solicitor would need to review the lease, if there is anything within the lease that can have an effect on the security property then we may not be able to consider your application. This could be an overriding interest in the property, or they have a right to take these solar panels down at any time, as this may cause damage to the property if they choose to do this.",,,
Structural Reports ,"In some instances a structural report may be requested by the surveyor.

Reports will only be accepted from members of the following bodies:

The Institution of Structural Engineers (www.istructe.org.uk)
The Institution of Civil Engineers (www.ice.org.uk)
The report must be referred to the valuer for comment. If the report is not addressed to the applicant, written confirmation must be obtained from the originator that its contents may be relied upon by the applicant(s).

We will not lend on any property with either ongoing movement or where monitoring is required, where this is identified by either the valuer, or where evident in the structural engineer’s report.",,,
Submission requirements,,,,
Student lets,,,,
Student Loans ,Student loans should be included in an applicant's credit commitments to give an accurate affordability assessment. If these are added to the application at a later date the loan amount we are able to offer may be affected.,,,
Studio Flats,"Minimum floor area of 30m2
Must be self-contained with private facilities
Maximum LTV 70%",,,
Tier 1 refurbishment,,,,
Tier 2 refurbishment,,,,
Tenancy,,,,
Tenure ,"Freehold – Acceptable for houses only. Freehold flats/maisonettes are not acceptable.

Leasehold – Minimum remaining lease term is 70 years at the time of application.

Flying Freehold – A property with an element of Flying Freehold can be considered providing it does not exceed 10% of the total area. The valuer must comment and confirm the total percentage.

Commonhold – Not acceptable.

If the title to the property is leasehold and the freehold title is owned by the applicant, a relative of the applicant or a limited company the applicant is a director/shareholder, Precise Mortgages will require a charge over both the freehold and the leasehold.",,,
Term,"Residential Mortgages
Minimum term 5 years
Maximum term 35 years
",,,
Top slicing (also known as income supported buy to let),,,,
Unacceptable Property Types ,"The following types of property are not considered acceptable:

Commercial Properties.
Live/work units.
Click here for unacceptable construction types.
Any property affected by Japanese knotweed class A or B. Class C and D are acceptable. Class C will require a satisfactory management plan in place.
Any property deemed unsuitable security by the valuer.
Any property where there is ongoing movement/monitoring is required.
Property where material environmental hazards are present.
Property where saleability may be adversely affected by local planning or by an unsatisfactory mining search.
Property being purchased under any social housing schemes other than Right to Buy. We're unable to consider remortgaging any property purchased under any such scheme where the original vendor retains any interest or where any pre-emption clause remains.
A property that is affected by or within influencing distance of any significant factor which will have a negative impact on the property’s value or re-saleability (e.g. overhead pylons, sub stations, etc).
Any property with spray foam roof void insulation.
Property has been purchased from a company that the applicant has an interest in.
Property is subject to either a back-to-back or sub-sale agreement.",,,
Urgent applications,,,,
Unencumbered ,"Unencumbered properties do not have current mortgages or loans secured on them. When raising funds on an unencumbered property, applications should be submitted on a remortgage basis.",,,
Unlicensed HMO,,,,
Validation ,"ID and Residency documents
If originals are not available, we are able to accept certified copies of any ID and Residency documents, subject to the following:

The documents must be certified and dated within the last 3 months by an independent professional; e.g. Broker (if FCA regulated), Solicitor, Accountant etc. and not by an applicant, guarantor or close relative.
Where an applicant has been seen on a face to face basis:
All submitted documents must be certified as follows ‘I certify this is a true copy of the original’
Where the document contains a photograph it must also be certified as ‘a true likeness of the applicant’
Where an applicant has been seen on a non-face to face basis:
All submitted documents must be certified as follows ‘I certify this is a true copy of the original’
The name of the person and employer/firm certifying the documents must be clear.

Please refer to our Anti Money Laundering Guidelines for full details of our ID and Residency validation requirements.

Where a copy of an applicant’s ID documents have been obtained via a digital ID solution, we will require a copy of the customer’s digital report from one of the following companies:

Amiqus
CallCredit / TransUnion
Credas
Experian
Equifax
GBGroup
LexisNexis
Onfido
TrustID
Yoti
Supporting Documents (including Standard Declaration – both pages)
If originals are not available, the following are acceptable subject to the documents being fully legible and the underwriter having no concerns in respect of authenticity:

Photocopies
Scanned images
Photographic images
Digital images
Precise Mortgages retains the right to request original documentation when considered appropriate.",,,
Vendor’s Deposit/Discounted Purchase Price ,In all cases applicants are required to commit their own funds to the transaction. Any vendor deposit will be deducted from the lower of purchase price/valuation and lending will be based on the net figure.,,,
Valuation ,"Residential Mortgages
All applications will require a standard valuation to be instructed by Precise Mortgages. The valuation will be immediately instructed at full case submission stage.

Click here for details of the fees involved.

For properties in Scotland, a re-type can be accepted providing:

The Home Report was carried out within 3 months of the application submission date
The inspection was carried out by a valuer from our approved panel
Where we are able to use a re-type a fee of £80 is payable, however a full fee will be taken on application with the difference refunded once an acceptable report is received.

All valuations are subject to underwriter review.",,,
Valuation fees,,,,
,,,,
Vulnerable Customers,"We are committed to ensuring that our customers are supported, especially those with vulnerable circumstances. If a customer may require support or adjustments to be made, please contact us on 0800 116 4385 (option 1) to discuss what we can do to help.

If we identify that a customer may be vulnerable, we will contact you or the customer to gain a better understanding of the circumstances and what appropriate help we may be able to provide.",,,
Working Abroad,"We are able to consider lending to applicants that work abroad providing:

They spend the majority of the year in the UK
They are paid in pounds sterling
They pay UK tax
Applicants who work abroad will be considered on an individual basis and be subject to the underwriter assessment.",,,
Zero Hours Contracts,"The use of income sourced from a zero hour contract is only permitted for the secondary applicant (i.e. not the main income earner).

Payslips covering the last 6 months will be required to verify income. Eligible income is the lower of the average pay from the last 3 months / last 6 months.",,,
